=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.02.08 23:12:00 =~=~=~=~=~=~=~=~=~=~=~=
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
0
